region;area;city;settlement;street;house
Ростовская обл;;г Ростов-на-Дону;;ул Тренева;28
Московская обл;;г Люберцы;рп Малаховка;ш Быковское;26
г Санкт-Петербург;;;;ул Одоевского;33
Новосибирская обл;;г Новосибирск;;ул Октябрьская;33
Красноярский край;;г Красноярск;;ул Мичурина;2А
г Санкт-Петербург;;;;пр-кт Кронверкский;59
Волгоградская обл;;г Волгоград;;б-р 30-летия Победы;70
Респ Кабардино-Балкарская;;г Прохладный;;ул Головко;167
г Москва;;;;ул Вишнёвая;3
г Санкт-Петербург;;;;пр-кт Науки;30
Воронежская обл;;г Воронеж;;ул Пушкинская;42
г Москва;;;;ул Островитянова;5
Иркутская обл;;г Зима;;ул Клименко;55
г Москва;;;;ш Варшавское;72
г Санкт-Петербург;;;;пер Общественный;5
Челябинская обл;;г Челябинск;;ул Труда;174
Волгоградская обл;;г Волгоград;;ул Мира;11
г Санкт-Петербург;;;;пр-кт Римского-Корсакова;39
Краснодарский край;;г Краснодар;;ул им. Петра Метальникова;11
Краснодарский край;Тихорецкий р-н;г Тихорецк;;ул Московская;183
Тюменская обл;;г Тюмень;;ул Михаила Сперанского;43
Свердловская обл;;г Каменск-Уральский;;пр-кт Победы;19А
Респ Крым;;г Симферополь;;пр-кт Кирова;18
Московская обл;;г Ступино;;ул Тургенева;21
Ханты-Мансийский Автономный округ - Югра АО;;г Сургут;;ул Профсоюзов;45
Волгоградская обл;;г Волгоград;;б-р им. Энгельса;18
Амурская обл;;г Благовещенск;;ул Мухина;110
г Санкт-Петербург;;;;пр-кт Невский;44
г Санкт-Петербург;;;;пр-кт Большой П.С.;39
г Москва;;;;ул Люблинская;169
г Москва;;;;ул Обручева;27
Московская обл;г Ногинск;;;ул 2-ая Глуховская;5
Респ Удмуртская;;г Ижевск;;ул Карла Маркса;55А
Курская обл;;г Курск;;ул Энгельса;173Д
Кемеровская область - Кузбасс;;г Новокузнецк;р-н Куйбышевский;ул Куйбышева;17
Ростовская обл;;г Ростов-на-Дону;;пр-кт 40-летия Победы;276
Кемеровская область - Кузбасс;;г Кемерово;;ул Тухачевского;63
Калининградская обл;;г Калининград;;ул Большая Окружная;17
Респ Карелия;;г Сортавала;;ул Промышленная;32Б
Красноярский край;;г Красноярск;;ул Пограничников;101А
г Москва;;;;ул Обручева;52
Краснодарский край;;г Сочи;;ул Волжская;15
